"PROJECT","#TRAIN_RELEASES","ADDONS","CLASSIFIER","KAPPA","PRECISION","RECALL","AUC","TP","FP","TN","FN"
"zookeeper","5","Best_First_BidirectionalSensitive_Learning_FP_Cost_1","Random Forest","0.3225806451612902","0.7777777777777778","0.4069767441860465","0.751975615263039","35.0","10.0","93.0","51.0"
"zookeeper","5","None","Naive Bayes","0.278453829634932","0.8666666666666667","0.3023255813953488","0.7338564009934523","26.0","4.0","99.0","60.0"
"zookeeper","5","None","IBK","0.16908269961977193","0.6764705882352942","0.26744186046511625","0.6446714834048318","23.0","11.0","92.0","63.0"
"zookeeper","5","None","Random Forest","0.18162136155881645","0.8181818181818182","0.20930232558139536","0.725333032287198","18.0","4.0","99.0","68.0"
"zookeeper","6","Best_First_Bidirectional","Naive Bayes","0.27947504302925974","0.8333333333333334","0.32608695652173914","0.7539855072463768","30.0","6.0","99.0","62.0"
"zookeeper","6","Best_First_Bidirectional","IBK","0.26528295767796334","0.896551724137931","0.2826086956521739","0.6618530020703933","26.0","3.0","102.0","66.0"
"zookeeper","6","Best_First_Bidirectional","Random Forest","0.20027063599458722","0.8148148148148148","0.2391304347826087","0.7547619047619047","22.0","5.0","100.0","70.0"
"zookeeper","6","Best_First_BidirectionalUnder_Sampling","Naive Bayes","0.28248527048741284","0.7857142857142857","0.358695652173913","0.7596790890269152","33.0","9.0","96.0","59.0"
"zookeeper","6","Best_First_BidirectionalUnder_Sampling","IBK","0.42198470082783196","0.7432432432432432","0.5978260869565217","0.7142857142857143","55.0","19.0","86.0","37.0"
"zookeeper","6","Best_First_BidirectionalUnder_Sampling","Random Forest","0.39888468013468015","0.75","0.5543478260869565","0.7793995859213251","51.0","17.0","88.0","41.0"
"zookeeper","6","Best_First_BidirectionalOver_Sampling","Naive Bayes","0.28248527048741284","0.7857142857142857","0.358695652173913","0.7412525879917184","33.0","9.0","96.0","59.0"
"zookeeper","6","Best_First_BidirectionalOver_Sampling","IBK","0.25620280474649415","0.84375","0.29347826086956524","0.6584886128364389","27.0","5.0","100.0","65.0"
"zookeeper","6","Best_First_BidirectionalOver_Sampling","Random Forest","0.289574250497874","0.8571428571428571","0.32608695652173914","0.7424430641821946","30.0","5.0","100.0","62.0"
"zookeeper","6","Best_First_BidirectionalSensitive_Classifier_FP_Cost_1","Naive Bayes","0.31557004650168374","0.8","0.391304347826087","0.6527950310559006","36.0","9.0","96.0","56.0"
"zookeeper","6","Best_First_BidirectionalSensitive_Classifier_FP_Cost_1","IBK","0.26528295767796334","0.896551724137931","0.2826086956521739","0.6270186335403727","26.0","3.0","102.0","66.0"
"zookeeper","6","Best_First_BidirectionalSensitive_Classifier_FP_Cost_1","Random Forest","0.407221664994985","0.7777777777777778","0.532608695652174","0.6996376811594203","49.0","14.0","91.0","43.0"
"zookeeper","6","Best_First_BidirectionalSensitive_Classifier_FP_Cost_3","Naive Bayes","0.31557004650168374","0.8","0.391304347826087","0.6527950310559006","36.0","9.0","96.0","56.0"
"zookeeper","6","Best_First_BidirectionalSensitive_Classifier_FP_Cost_3","IBK","0.26528295767796334","0.896551724137931","0.2826086956521739","0.6270186335403727","26.0","3.0","102.0","66.0"
"zookeeper","6","Best_First_BidirectionalSensitive_Classifier_FP_Cost_3","Random Forest","0.407221664994985","0.7777777777777778","0.532608695652174","0.6996376811594203","49.0","14.0","91.0","43.0"
"zookeeper","6","Best_First_BidirectionalSensitive_Learning_FP_Cost_1","Naive Bayes","0.31557004650168374","0.8","0.391304347826087","0.7539855072463768","36.0","9.0","96.0","56.0"
"zookeeper","6","Best_First_BidirectionalSensitive_Learning_FP_Cost_1","IBK","0.26528295767796334","0.896551724137931","0.2826086956521739","0.6618530020703933","26.0","3.0","102.0","66.0"
"zookeeper","6","Best_First_BidirectionalSensitive_Learning_FP_Cost_1","Random Forest","0.35858019749132636","0.8297872340425532","0.42391304347826086","0.7832815734989648","39.0","8.0","97.0","53.0"
"zookeeper","6","None","Naive Bayes","0.2885786665229343","0.8787878787878788","0.31521739130434784","0.75351966873706","29.0","4.0","101.0","63.0"
"zookeeper","6","None","IBK","0.2551582586151021","0.8666666666666667","0.2826086956521739","0.6545031055900621","26.0","4.0","101.0","66.0"
"zookeeper","6","None","Random Forest","0.26528295767796334","0.896551724137931","0.2826086956521739","0.7690476190476191","26.0","3.0","102.0","66.0"
"zookeeper","7","Best_First_Bidirectional","Naive Bayes","0.36139783609003867","0.7551020408163265","0.4111111111111111","0.7345804988662131","37.0","12.0","135.0","53.0"
"zookeeper","7","Best_First_Bidirectional","IBK","0.22681673599217025","0.5892857142857143","0.36666666666666664","0.6376795162509449","33.0","23.0","124.0","57.0"
"zookeeper","7","Best_First_Bidirectional","Random Forest","0.2275034038866195","0.6078431372549019","0.34444444444444444","0.7031368102796675","31.0","20.0","127.0","59.0"
"zookeeper","7","Best_First_BidirectionalUnder_Sampling","Naive Bayes","0.395334710241769","0.7288135593220338","0.4777777777777778","0.7515495086923658","43.0","16.0","131.0","47.0"
"zookeeper","7","Best_First_BidirectionalUnder_Sampling","IBK","0.31319661168078466","0.5612244897959183","0.6111111111111112","0.635071806500378","55.0","43.0","104.0","35.0"
"zookeeper","7","Best_First_BidirectionalUnder_Sampling","Random Forest","0.23300970873786409","0.5217391304347826","0.5333333333333333","0.7040438397581255","48.0","44.0","103.0","42.0"
"zookeeper","7","Best_First_BidirectionalOver_Sampling","Naive Bayes","0.33774753978860417","0.6779661016949152","0.4444444444444444","0.7264550264550265","40.0","19.0","128.0","50.0"
"zookeeper","7","Best_First_BidirectionalOver_Sampling","IBK","0.2213513834461465","0.5507246376811594","0.4222222222222222","0.6224489795918368","38.0","31.0","116.0","52.0"
"zookeeper","7","Best_First_BidirectionalOver_Sampling","Random Forest","0.18770923003347673","0.5303030303030303","0.3888888888888889","0.6841269841269841","35.0","31.0","116.0","55.0"
"zookeeper","7","Best_First_BidirectionalSensitive_Classifier_FP_Cost_1","Naive Bayes","0.3849964614295824","0.6666666666666666","0.5333333333333333","0.6850340136054421","48.0","24.0","123.0","42.0"
"zookeeper","7","Best_First_BidirectionalSensitive_Classifier_FP_Cost_1","IBK","0.2147878787878788","0.5666666666666667","0.37777777777777777","0.600453514739229","34.0","26.0","121.0","56.0"
"zookeeper","7","Best_First_BidirectionalSensitive_Classifier_FP_Cost_1","Random Forest","0.3329725048711843","0.5535714285714286","0.6888888888888889","0.6743764172335601","62.0","50.0","97.0","28.0"
"zookeeper","7","Best_First_BidirectionalSensitive_Classifier_FP_Cost_3","Naive Bayes","0.3849964614295824","0.6666666666666666","0.5333333333333333","0.6850340136054421","48.0","24.0","123.0","42.0"
"zookeeper","7","Best_First_BidirectionalSensitive_Classifier_FP_Cost_3","IBK","0.2147878787878788","0.5666666666666667","0.37777777777777777","0.600453514739229","34.0","26.0","121.0","56.0"
"zookeeper","7","Best_First_BidirectionalSensitive_Classifier_FP_Cost_3","Random Forest","0.3329725048711843","0.5535714285714286","0.6888888888888889","0.6743764172335601","62.0","50.0","97.0","28.0"
"zookeeper","7","Best_First_BidirectionalSensitive_Learning_FP_Cost_1","Naive Bayes","0.3849964614295824","0.6666666666666666","0.5333333333333333","0.7345804988662131","48.0","24.0","123.0","42.0"
"zookeeper","7","Best_First_BidirectionalSensitive_Learning_FP_Cost_1","IBK","0.2147878787878788","0.5666666666666667","0.37777777777777777","0.6376795162509449","34.0","26.0","121.0","56.0"
"zookeeper","7","Best_First_BidirectionalSensitive_Learning_FP_Cost_1","Random Forest","0.3073291366906476","0.5638297872340425","0.5888888888888889","0.7128117913832199","53.0","41.0","106.0","37.0"
"zookeeper","7","None","Naive Bayes","0.28346837586165186","0.6229508196721312","0.4222222222222222","0.7062358276643991","38.0","23.0","124.0","52.0"
"zookeeper","7","None","IBK","0.18838965218467613","0.5686274509803921","0.32222222222222224","0.6387755102040816","29.0","22.0","125.0","61.0"
"zookeeper","7","None","Random Forest","0.2688748173404774","0.6206896551724138","0.4","0.7026077097505669","36.0","22.0","125.0","54.0"
"zookeeper","8","Best_First_Bidirectional","Naive Bayes","0.2705583974551863","0.7105263157894737","0.3103448275862069","0.7184286146400484","27.0","11.0","141.0","60.0"
"zookeeper","8","Best_First_Bidirectional","IBK","0.13812479033881242","0.5106382978723404","0.27586206896551724","0.5974364791288567","24.0","23.0","129.0","63.0"
"zookeeper","8","Best_First_Bidirectional","Random Forest","0.0639542920333595","0.5714285714285714","0.09195402298850575","0.6771400483968542","8.0","6.0","146.0","79.0"
"zookeeper","8","Best_First_BidirectionalUnder_Sampling","Naive Bayes","0.27047651348143115","0.6744186046511628","0.3333333333333333","0.7086358136721113","29.0","14.0","138.0","58.0"
"zookeeper","8","Best_First_BidirectionalUnder_Sampling","IBK","0.10317249744153428","0.43023255813953487","0.42528735632183906","0.5434815486993345","37.0","49.0","103.0","50.0"
"zookeeper","8","Best_First_BidirectionalUnder_Sampling","Random Forest","0.15634791575774404","0.4852941176470588","0.3793103448275862","0.6525635208711433","33.0","35.0","117.0","54.0"
"zookeeper","8","Best_First_BidirectionalOver_Sampling","Naive Bayes","0.27047651348143115","0.6744186046511628","0.3333333333333333","0.7104885057471264","29.0","14.0","138.0","58.0"
"zookeeper","8","Best_First_BidirectionalOver_Sampling","IBK","0.13517447905835367","0.5","0.28735632183908044","0.5837870538415003","25.0","25.0","127.0","62.0"
"zookeeper","8","Best_First_BidirectionalOver_Sampling","Random Forest","0.11183491452804617","0.53125","0.19540229885057472","0.6474213551119177","17.0","15.0","137.0","70.0"
